Home,Road,line,linesag,linepz,lineARGH,lineed,lineavg,linescrp,linepig,lineray,linecpa,linemass,linemore,linedunk,linecpa2,linepyth,lineelo,lineeff,linehank,linel2,linepfz2,linel1,linel2h,linefox,linefree,linebihl,linegrid,linesage,linesagp,linejfm,lineimes,open,linestr,lineself,linefly,linegrn,linecoff,lineray2,lineesp,lineadler,linetsr,linetsr2,linelog,vscore,hscore,week
Jacksonville,Washington,3,0.26,0.81,-1,6,-0.74,-1.79,0,-1.9,-3.88,1.88,0.97,-1.8,-6.24,7.91,-0.69,5.78,-1,2.46,-1.46,-3,-2.97,4,4,,3,-2.69,3.13,1.48,-15.5,2,2.27,,1.03,-5.5,-2.42,-4.9,-4.1,0.04,-9,-0.04,,7,26,10
Minnesota,N.Y. Giants,-1,-3.45,1.46,-4,-3,-3.08,-4.78,0,-3.7,-2.71,-0.35,0.83,-0.9,-3.53,1.93,-1.08,0.35,-1,-2.19,-0.04,-0.5,3.08,-1,-1,,-1,-5.02,-2.17,-4.14,-20.9,-1,-2.22,,-1.82,-8.67,-1.99,-5.5,-1.4,-4.03,-12,-0.08,,27,20,10
N.Y. Jets,Miami,2.5,-5.27,-7.48,-6,-4,-4.48,-4.6,-4,-1.4,-0.37,-1.27,0.87,4.2,-8.63,-5.36,1.04,-1.95,-1,-14.88,-5.93,-16.8,-14.44,-1,1,,1,-4.73,-5.84,-3.45,-11.9,1,-0.82,,-3.12,-7.92,-3.35,-5.7,-1.4,-5.56,-11,-0.15,,10,13,10
Philadelphia,Indianapolis,9,9.46,12.14,9,17,12.65,10.65,12,13.5,13.59,12.03,12.31,16.4,12.9,14.24,16.15,9.63,0,15.11,14.2,14.2,23.64,17,6,,11,7.65,11.87,15.26,26.8,9,16.44,,12.27,12.75,13.55,9.1,14.8,12.15,8,0.13,,35,13,10
Pittsburgh,Atlanta,5,1.78,-3.42,0.25,4,1.72,-0.39,8,4.8,-3.64,5.75,3.05,2.8,-3.4,0.55,4.85,1.55,1,-1.16,1.52,-6.6,-14.68,9,3,,5,2.22,1.25,3.5,3.7,4.5,4.03,,2.18,-0.98,1.96,1.6,3.3,1.7,-3,-0.05,,34,34,10
San Francisco,Kansas City,6.5,5.17,3.88,7,9,6.35,6.86,7,8.1,4.17,5.77,4.03,3,4.77,5.63,4.17,5.87,5,0.9,9.24,2.7,10.06,6,6,,7,7.27,3.34,5.11,17.3,5.5,1.26,,8.99,7.8,7.81,9.2,4.3,8.87,11,0.06,,13,17,10
St. Louis,San Diego,5.5,-0.82,0.17,-3,4,0.54,-1.91,8,5.1,2.05,3.76,1.04,7.7,-5.39,-0.3,5.96,1.41,3,1.84,-0.16,0.2,-0.76,10,5,,6,-3.54,1.64,0.39,-5,6,2.78,,-3.73,-5.66,-0.41,-5,4.7,-5.47,-11,-0.03,,24,28,10
Tennessee,Houston,10,9.11,6.76,11,9,11.21,11.08,12,12.1,9.37,12.1,9.23,13.4,7.38,11.21,14.85,6.79,0,13.65,8.77,14.8,7.27,15,9,,11,8.92,10.23,10.58,33.7,10.5,11.55,,9.95,12.2,10.41,9.2,12.1,11.12,10,0.1,,10,17,10
Atlanta,New Orleans,3,-0.96,-5.44,-2,1,0.07,0.26,3,1.9,2.02,0.04,1.43,3.4,-2.53,2.8,1.09,2.86,1,0.58,-0.81,3,1.45,4,3,0.28,3,-2.78,0.73,1.4,1.1,3,2.53,0.67,-3.26,-3.99,-1.7,-1.3,3.6,-1.15,-10,-0.1,,17,24,11
Cincinnati,Cleveland,-3.5,-6.5,-3.43,-8,-7,-5.81,-6.55,-6,-3.5,-6.6,-3.82,-5.78,-5.1,-5.67,-9.01,-6.23,-4.89,-5,-9.46,-2.09,-9,-21.01,-6,-2,-6.78,-2,-5.63,-7.31,-4.31,-5.9,-3,-5.23,-2.35,-2.3,-10.3,-4.88,-4,-2.9,-6.78,-13,-0.11,,27,20,11
